station_name;station_no;ts_id;ts_name;parametertype_name;stationparameter_name;from;to
Gauge - Mississippi River at Appleton;02KF006;44134042;292.DailyDomain;River Discharge;Q;2024-01-01 00:00:00;2024-01-09 00:00:00
Gauge - Mississippi River at Appleton;02KF006;44135042;294.MonthlyDomain;River Discharge;Q;2024-01-01 00:00:00;2024-02-01 00:00:00
Gauge - Mississippi River at Appleton;02KF006;44136042;290.CombinedDomain;River Discharge;Q;1918-10-01 00:00:00;2024-01-09 13:00:00
Gauge - Clyde River at Gordon Rapids;02KF013;44146042;291.HourlyDomain;River Discharge;Q;2024-01-09 00:00:00;2024-01-09 13:00:00
Gauge - Clyde River at Gordon Rapids;02KF013;44147042;292.DailyDomain;River Discharge;Q;2024-01-01 00:00:00;2024-01-09 00:00:00
Gauge - Clyde River at Gordon Rapids;02KF013;44148042;294.MonthlyDomain;River Discharge;Q;2024-01-01 00:00:00;2024-02-01 00:00:00
Gauge - Clyde River at Gordon Rapids;02KF013;44149042;290.CombinedDomain;River Discharge;Q;1971-09-09 00:00:00;2024-01-09 13:00:00
Gauge - Clyde River at Gordon Rapids;02KF013;44219042;ZZ.00.Utc Test;River Discharge;Q;1985-04-11 00:00:00;2024-01-09 13:40:00
Gauge - Buckshot Creek near Plevna;02KF017;48067042;ZZ.99.Hec 6 Hour Test;River Discharge;Q;1994-03-07 12:00:00;2024-01-09 12:00:00
Gauge - Clyde River at Gordon Rapids;02KF013;48142042;ZZ.99. Hec 6 Hour TestProduction;River Discharge;Q;1985-04-11 00:00:00;2024-01-09 12:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54060042;201.HourlyMean;River Discharge;Q;1993-04-01 00:00:00;2024-01-09 14:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54061042;202.DailyMean;River Discharge;Q;1993-04-01 00:00:00;2024-01-10 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54062042;203.WeeklyMean;River Discharge;Q;1993-03-29 00:00:00;2024-01-15 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54063042;204.MonthlyMean;River Discharge;Q;1993-04-01 00:00:00;2024-02-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54064042;205.YearlyMean;River Discharge;Q;1993-01-01 00:00:00;2025-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54065042;222.DailyHistMean;River Discharge;Q;1993-01-01 00:00:00;2025-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54066042;223.WeeklyHistMean;River Discharge;Q;1992-12-31 00:00:00;2025-01-02 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54067042;224.MonthlyHistMean;River Discharge;Q;1993-01-01 00:00:00;2025-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54068042;225.YearlyHistMean;River Discharge;Q;1992-04-01 00:00:00;2025-04-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54069042;232.DailyHistMin;River Discharge;Q;1993-01-01 00:00:00;2025-01-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;54070042;233.WeeklyHistMin;River Discharge;Q;1993-01-01 00:00:00;2026-01-02 00:00:00
